"","Intrinsic","LUI"
"Poa_tri",0.0552308207490513,-0.00825980761232139
"Poa_pra",-0.0650807962343877,0.0718551110915267
"Alo_pra",0.0397331076091673,-0.000602142909904357
"Dac_glo",-0.0175687647374477,0.0268925935145745
"Tri_rep",-0.0659287042173202,0.0734777084668544
"Tar_off",-0.0382501321061076,0.0335824470935832
"Lol_per",-0.0149955974139485,0.00663774131283077
"Arr_ela",0.0336569233518263,-0.0148365617580184
"Fes_rub",-0.018931899607065,0.0352815807258099
"Fes_pra",-0.0348263056834172,0.0425030335150722
"Tri_fla",-0.000878668717109638,-0.00899381019188555
"Ely_rep",-0.0180191076857338,0.000258013285328811
"Tri_pra",0.0390030290407671,0.00468195722532158
"Bro_ere",0.109613144792438,-0.0530714696197268
"Ran_rep",0.00266242928952368,0.00543318130182679
"Bro_hor",-0.00983854508376686,0.0202055689502712
"Ran_acr",0.0269800101782261,-0.0185915161034835
"Pla_lan",0.00574195157974324,0.00940301948396253
"Ach_mil",0.00229987648988972,-0.00283544626047442
"Gal_mol",-0.0121039792915722,0.00782615074538196
"Her_sph",0.0143220259918901,-0.0155403250262961
"Ant_syl",0.0262737650437774,-0.0133537848906539
"Hol_lan",-0.00347432971051262,-0.000922147249299822
"Hel_pub",0.0689920198551454,-0.0344136825686599
"Ant_odo",0.0117384891327982,-0.013042650466852
"Bra_pin",0.0444232939138875,-0.0208672197472026
"Car_hir",-0.00769080717816273,0.00931395171578596
"Ver_cha",0.0141574035516539,-0.00116262882678032
"Rum_ace",0.0227287888010028,-0.0124504803724467
"Fes_ovi",0.0143637674269018,-0.00221334892233739
"Phl_pra",0.0463317561085319,-0.0212704355450444
"Pha_aru",-0.00325227052754722,0.00188756237625952
"Des_ces",0.0146362782144946,-0.00368343374711741
"Agr_sto",0.00715495804654126,0.00804038545435849
"Cyn_cri",-0.00678583786194769,0.00271857352340051
"Cir_ole",-0.0123058494344457,0.00590627817013237
"Cer_hol",-0.00477978587166322,0.00377341644621765
"Pla_med",0.00357248502178344,-0.00211674891372637
"Cre_bie",0.0123225432787644,-0.00720981174310102
"Urt_dio",0.0145479528787901,-0.00832057742372871
"Thy_pul",0.0352554278018393,-0.0155067907775465
"Lol_mul",0.0332540313057412,-0.0179606837522698
"Cir_arv",-0.00425773607101184,0.00192570834114929
"Lot_cor",0.0287802994856084,-0.0165937665362532
"Ran_bul",-0.00783073471797165,0.00360338109839605
"Tri_dub",0.00415271644893648,0.000789193828607256
"Med_lup",0.0029491201776014,0.00301385546137783
"Leo_his",0.0535541999789744,-0.0249362897265441
"Car_car",0.00627823042902758,-0.00637780274437964
"Vic_sep",0.00527775898526089,-0.0028314778824443
"Pru_sp",0.0125445933939399,-0.00114260726439806
