Plot,F_06,F_07,F_08,F_09,F_10,F_11,F_12,F_13,F_14,F_15,G_06,G_07,G_08,G_09,G_10,G_11,G_12,G_13,G_14,G_15,LUI_06,LUI_07,LUI_08,LUI_09,LUI_10,LUI_11,LUI_12,LUI_13,LUI_14,LUI_15
HEG16,0,0,0,0,0,0,0,0,0,0,0.15,0.79,0.93,1.65,1.23,1.59,2.54,1.07,1.09,1.45,0.38,0.89,0.96,1.28,1.11,1.26,1.59,1.03,1.04,1.21
HEG17,0,0,0,0,0,0,0,0,0,0,0.26,0.33,0.39,0.51,0.48,0.38,0.5,0.25,0.8,0.23,0.51,0.58,0.63,0.72,0.69,0.61,0.7,0.5,0.89,1.19
HEG18,0,0,0,0,0,0,0,0,0,0,0.07,0.6,0.71,0.52,0.53,0.4,0.66,0.28,0.32,0.25,0.26,0.77,0.84,0.72,0.73,0.63,0.81,1.12,0.57,0.5
HEG19,0,0,0,0,0,0,0,0,0,0,0.26,0.33,0.39,0.51,0.48,0.38,0.5,0.25,0.8,0.23,0.51,0.58,0.63,0.72,0.69,0.61,0.7,0.5,0.89,0.48
HEG20,0,0,0,0,0,0,0,0,0,0,0.07,0.38,0.45,0.55,0.39,1.61,2.33,0.74,1.17,0.67,0.26,0.62,0.67,0.74,0.62,1.27,1.53,0.86,1.08,0.82
HEG21,0,0,0,0,0,0,0,0,0,0,0.24,0.62,0.28,0.68,0.3,0.53,0.75,0.34,0.33,0.3,0.49,0.79,0.53,0.82,0.55,0.73,0.86,0.58,0.57,0.55
HEG22,0,0,0,0,0,0,0,0,2.45,0,0.46,0.31,0.36,0.33,0.14,0.24,0.2,0.3,0.12,0.11,1.24,1.16,1.53,1.17,1.45,1.45,1.45,1.49,2.09,1.58
HEG23,0,0,0,0,0,0,0,0,0,0,1.27,0.75,1.49,0.5,0.47,1.54,0.48,0.49,0,0,1.53,1.34,1.57,1.24,1.2,1.85,1.19,1.21,0.95,1.09
HEG24,0,0,0,0,0,0,0,0,0,0,1.76,2.48,1.77,0.46,0.82,2.18,0.87,1.17,0.52,0.27,1.69,1.58,1.66,1.22,1.34,2.01,1.66,1.46,1.19,1.21
HEG25,0,0,0,0,0,0,0,0,0,0,3.97,2.79,3.29,0.47,2.51,0.56,0.49,0.26,0.34,0.23,1.99,1.67,1.81,1.23,1.58,1.22,1.2,1.1,1.11,1.19
HEG26,0.28,0,0,0,0,2.73,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,1.16,1.02,0.99,1.02,1.4,1.91,0.97,0.98,2.06,1.54
HEG27,1.96,1.94,1.83,1.72,1.69,2.02,1.96,2.31,1.89,3.04,0,0,0,0,0,0,0,0,0,0.36,1.74,1.73,1.68,1.66,1.63,1.97,1.96,1.81,1.92,2.14
HEG28,0.88,0.97,2.9,2.99,2.28,2.34,0,0,0,0,0.69,0.57,0,0,0,0,0,0,0,0.23,1.63,1.61,2.21,2.25,1.8,2.05,1.37,1.39,1.34,1.19
HEG29,0.88,0.97,0.83,2.99,2.28,2.34,0,0,0,0,0.97,0.37,0.58,0,0,0,0,0,0.39,0.23,1.71,1.85,1.55,2.25,1.8,2.05,1.37,1.39,1.48,1.19
HEG30,1.96,1.94,2.45,3.04,1.97,3.2,5.47,3.92,3.03,7.59,0.35,0,0,0,0,0,0,0,0.48,0.37,2.11,2.25,2.33,2.48,2.21,2.25,2.71,2.61,2.3,3.4
HEG31,1.17,1.62,1.53,1.24,3.41,2.12,2.41,3.83,1.89,0,0.16,0.83,0.98,0.27,0.78,0.39,0.41,0.31,0.76,0.5,1.87,1.87,1.87,1.6,2.27,2.09,1.94,2.46,2.11,1.3
HEG32,1.96,1.62,1.53,1.72,1.69,1.73,1.96,2.31,1.89,3.04,3.11,0.72,0.85,1.53,1.19,0.91,1.54,0.55,0.76,0.47,2.48,1.84,1.84,2.07,1.96,1.89,2.11,1.95,1.88,2.17
HEG33,0.88,0.87,0.83,2.99,2.28,3.12,0,0,0,0,1.28,0.82,1.14,0.94,1.05,1.13,0.66,0.61,1.56,0.51,1.47,1.66,1.98,2.23,2.08,2.28,1.27,1.59,1.57,1.31
