"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Bro_ere","Ran_rep","Bro_hor","Ran_acr","Pla_lan","Ach_mil","Gal_mol","Her_sph","Ant_syl","Hol_lan","Hel_pub","Ant_odo","Bra_pin","Car_hir","Ver_cha","Rum_ace","Fes_ovi","Phl_pra","Pha_aru","Des_ces","Agr_sto","Cyn_cri","Cir_ole","Cer_hol","Pla_med","Cre_bie","Urt_dio","Thy_pul","Lol_mul","Cir_arv","Lot_cor","Ran_bul","Tri_dub","Med_lup","Leo_his","Car_car","Vic_sep","Pru_sp"
"Poa_tri",-0.767103730166568,0.0626207794731631,0.18242540448234,0.23735112153893,0.115971824164529,0.0339472771156328,-0.131180572588613,-0.203675797165022,-0.0486352947529288,0.0365811955205109,-0.136469684543216,0.108051538665006,0.232284555185928,-0.0155099825059341,0.119295806902142,-0.196990214765307,0.390072343028171,-0.235117985365332,0.0155895635308919,0.144358120750845,0.0742601486187454,-0.362394964834969,-0.040940918482214,-0.12565488170421,-0.385878360323646,-0.066341697914569,-0.666108870851,0.200651855639084,-0.199782634290136,0.297671569170347,0.0902112966154942,0.285145796458463,0.275048321278318,0.593948713738013,0.0791061744950461,0.776970421558141,0.923364247727347,-0.252463334260139,0.286919487218895,0.281774617719921,-0.149935991350915,-0.15110712685718,-0.272733182553686,0.0907086828414757,-0.292731388662013,0.302412104609439,-0.0793349191431952,0.0904347722223177,-0.234883936440955,-0.0894558387622391,-0.0921997385278021
"Poa_pra",0.102661441172595,-0.835835565808515,-0.140680455859203,-0.223357581881363,-0.0712571947353616,0.0509346615539481,0.203589281852066,-0.0122113087128013,-0.0319855693568791,0.0728858131917133,0.0626158367535225,0.199141072845892,0.0563169555395128,-0.104589390973714,-0.0395109621825038,-0.071251919812353,0.0763920300492737,0.32751155460403,0.0173338485014537,0.141360007421645,-0.503066974049315,-0.115088275988824,0.353882930537072,0.123542150377755,0.00420542921261896,0.0120216325159771,0.101502808482443,-0.302788106845503,-0.286360651117772,-0.0969818677621218,-0.0936652214211336,0.113201938569904,0.00710433125867265,-0.168786029972933,-0.429003834749706,-0.703104436655946,-0.185356159313376,-0.0700961083237149,0.221317956469557,-0.185193152564987,0.286299280865518,-0.201225712813006,0.672912429474663,-0.334875885740533,-0.197041598671875,-0.250773793823059,-0.165606368411465,0.0102506851370386,0.0729511163371864,0.0747774724409789,-0.217888495642833
"Alo_pra",0.054123430154728,-0.0618449875868722,-0.660508445498807,-0.0481949334502575,0.0194075773490059,0.0290208576825089,-0.0110987048792151,-0.0357984873931858,0.00180764445235763,-0.0866074047537663,0.0740362532473658,0.0504014007824375,-0.145894066214691,-0.153887256441327,0.176395246038302,0.122450683786457,0.00743839684902827,0.0876836496849437,0.058724197338127,0.0489261407251711,-0.397897887354435,-0.166202317291656,-0.107187769403562,-0.0650529041361076,0.0509175119251937,-0.0649106779081897,0.043420988439263,0.183639845035846,0.0999584551235367,-0.0904972377138806,-0.0813334886633612,0.198270075851825,-0.194529984893616,-0.184837696999034,-0.155489859828097,0.126623051832992,-0.470523768758573,-0.195028373644366,0.135881091017141,0.0726744622951001,-0.147528071899285,0.173709950805741,-0.320299624273449,-0.146115383635848,-0.058249552990738,-0.284055231325641,0.130256690504954,0.00853262159668292,0.145204835606857,0.22200493514525,-0.0356733038495847
"Dac_glo",-0.0362530619813991,-0.121043490398396,0.0113029608208872,-0.281048852995867,0.106618443764369,0.00413987768421616,-0.0489402276065359,0.0110109335255077,-0.208342939026469,0.0235843088964003,-0.260601486113421,-0.054004827310473,-0.0502068827442201,0.00308211743304556,-0.0619256995117845,0.08566524695509,-0.167739022003422,-0.161842133291904,-0.0561121915694042,0.183379488534899,0.101869023943247,-0.279369237736569,-0.0502350530132104,0.158935623189226,0.154305942954577,-0.133572598735939,0.344971114960279,0.122224824545648,-0.179242278176748,0.0654519163366072,0.0174139859407655,-0.132047259001437,0.0947812411869806,-0.149980435131073,-0.381780082830047,0.120435139291451,0.122685151438306,0.159867597894494,0.445447586861608,-0.286441011951168,-0.0145585857324801,0.210292868152587,0.260454867238975,0.0634180738544343,-0.50954815576465,-0.149989038401053,-0.117798741707565,-0.0425850509790652,0.147570168248985,0.105534989351578,-0.101861386936195
"Tri_rep",-0.108757199829345,0.0540363608584231,-0.0768132632195176,0.0244245981846567,-0.679219817562056,-0.0797549057322048,0.251731082418656,-0.0430810455023992,0.0459354642832808,0.0261894512400702,-0.0170783337367675,-0.159491012889558,-0.116820015834623,-0.0269507656088834,-0.0205581078123155,-0.0657610173676775,0.202189379648226,0.229422296236981,-0.0497995876934989,-0.144409991557681,-0.0218605846104026,0.107818686374851,-0.214910068541543,-0.24915153183994,0.0519939260078113,-0.0582107483819572,-0.114428079124051,0.0452527020043384,-0.00325839112667768,-0.0847744401678745,0.173470518224029,-0.320902124354795,-0.0610584175928157,0.067540089077269,0.801820476755643,0.1348226677024,-0.833933308342308,-0.0341724679660223,-0.1652258947099,-0.277925519184767,-0.37741561056349,0.0122334868711592,0.00108780846161643,-0.0354656063825139,0.230241970599378,-0.0701156062836329,0.00887861968127435,0.0719268461342752,0.118795661658279,0.213502195529722,0.120968014071352
"Tar_off",-0.085348199895508,-0.0457477535265139,0.0858110496804815,0.166300117841087,0.162780406256734,-0.689268973438952,0.126001216737448,-0.080257691388329,-0.0590797675592151,0.218341959101439,0.0319478072446439,0.0297875758684483,0.0504643346575879,0.0605260131130169,0.037148408075155,0.114129406638173,-0.262129561900727,0.155227067704175,0.0731360373116493,0.086606918648688,-0.0914043893554794,0.229230975145225,0.0115067433213387,0.282827986430888,-0.101876472276261,0.087664404657654,-0.214910440595034,0.221883507101113,-0.20798644801247,-0.0770979163437787,-0.0721750947313221,-0.248804283743513,-0.0630310966308996,0.227517633601522,-0.147998463213479,0.289108592936463,0.347922410403979,-0.0624325501794673,-0.100032991542142,-0.305637698512302,0.018645778462429,0.189412594288838,-0.539649289207094,-0.00699605196094787,0.199740032554442,0.454472854857657,0.188473989410317,-0.205539688436086,-0.462648019561705,-0.21874376112485,0.152697551538642
"Lol_per",-0.0325968358522962,-0.118189290067332,-0.00613751878748689,0.104917321795596,0.0677856527652998,0.118008415166628,-0.548524111509335,-0.0695308125558206,-0.0252981491674577,0.042324600046229,0.00526187773399585,-0.236940085044239,0.03127632134382,-0.0162718467078436,-0.270503401362021,0.0526366558983752,-0.0809900080922144,-0.0954977190108409,0.139460903006167,-0.0604323002675941,0.355310006615381,0.00837431540840494,0.0261586037799255,0.0241229585735318,0.0830607749846204,-0.0856181782029419,0.328734589831224,0.0955802407979399,-0.00382612310543392,0.0819676157868828,-0.0849878204202367,-0.2085470939204,0.134380302219922,-0.149349487353786,-0.0355286456809771,-0.174662938611388,0.18503071037672,0.0895362628895888,0.0463665579331243,-0.145584311275188,-0.0539618109767164,-0.015722288833483,0.49208981293623,-0.294325285423023,-0.111920469203623,-0.312057745023085,0.116511867622194,0.0181956857520585,0.0905011543355002,0.187615815389767,0.20311588031735
"Arr_ela",-0.0243296488251495,0.0190201253107289,0.0176365328229381,-0.0751718689018907,0.00494442869863301,0.0010105730636405,-0.0813200619345594,-0.430506449109275,-0.0296850646867419,-0.0101426076653896,-0.00526314522088173,-0.107802774530347,-0.394367768043871,0.0256564388670486,-0.00602106972668501,-0.024483393597532,0.29852390274365,0.24450584011243,0.084831341372924,-0.0861048152674202,0.183812125318269,0.178780649849728,0.103042980349929,-0.142851542342066,-0.148810725133577,-0.0774975537707185,-0.119258063036261,0.237072440824434,0.414178407489797,-0.233524047380057,-0.0880291455172732,-0.278590959395098,-0.0412729146562798,-0.153164534760444,-0.0450615410185262,-0.161110743157528,0.183543498470765,-0.00938094627888318,-0.0759598280136064,0.0441469299828168,-0.130519592383978,-0.0532734954189212,0.0230500643913983,-0.0870071596826951,0.461055894068561,-0.157192824812759,0.0859299176807951,-0.172869260915971,-0.69364833441429,0.160143557349434,0.00330028998194392
"Fes_rub",-0.0585895737193719,-0.0540298700054393,-0.0652215856176582,-0.0364842250408485,-0.124644930726729,-0.0739853213641152,-0.0241364498439016,-0.0158272529415313,-0.481366018113295,-0.0155588651597095,0.269066908810356,-0.0204300488321603,0.125842037965758,-0.0737945433076826,-0.0304135248946556,-0.0293469603018814,0.0142102996952736,0.18730955791093,-0.0682376553306849,-0.137871302386489,-0.0813731010675181,-0.124323727999359,-0.00549430394379177,0.0627427543516147,0.155667696600761,0.0310143888425244,-0.0021862815556615,-0.0130443160340369,0.0744038992209298,0.274504815872152,-0.222872159243541,0.0666430861268374,0.348165164129504,-0.201504741111383,0.221885596318835,0.0395052943181443,0.0828009556032794,0.127783832531604,-0.0687369378585611,-0.417236500218954,-0.189247220959598,0.0234533172353396,0.0583365907976152,-0.0684865495035809,0.0500952608697893,-0.069818571395945,0.176937622316577,-0.16661355472183,-0.0654156302320746,0.632254378797494,-0.140624928943289
"Fes_pra",0.0494971974755304,0.0977766512921703,-0.0170268888291023,0.0865861218118044,0.0542080429740401,0.112628253508584,-0.0229923379546263,-0.108066125826796,0.0204981050495009,-0.988350941155262,0.0418769984298143,-0.0425208600405339,-0.0701586180453194,-0.0149670563209059,0.0883698998933913,0.0444781313855774,0.313600750271109,0.0783645834760862,0.0826842319871352,0.378336950359127,-0.098277865292731,0.114457510869279,0.070056849987711,0.145474982277414,0.0401780409162464,0.061731040058782,0.0616332355005787,0.139861459367902,-0.0886926839903894,-0.0737668548071249,0.236289743069251,0.0725468421455019,0.538280668730625,0.0820477539490395,0.0577759903113113,0.201397675034997,0.00527460787447631,0.179046597635407,0.257464016090409,0.0885724059920232,0.125787407100027,0.550530838524274,-0.00166927957477393,-0.116610707019255,-0.0767138952039327,0.111785424329471,-0.23925899456176,-0.189429906979687,0.19305260882168,-0.167862208492576,-0.201838348566337
