"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Bro_ere","Ran_rep","Bro_hor","Ran_acr","Pla_lan","Ach_mil","Gal_mol","Her_sph","Ant_syl","Hol_lan","Hel_pub","Ant_odo","Bra_pin","Car_hir","Rum_ace","Fes_ovi","Phl_pra","Des_ces","Agr_sto","Cyn_cri","Cir_ole","Cer_hol","Pla_med","Cre_bie","Urt_dio","Thy_pul","Lol_mul","Cir_arv","Lot_cor","Ran_bul","Tri_dub","Med_lup","Leo_his","Car_car","Vic_sep","Pru_sp","Rest"
"Poa_tri",1.35844935025477e-08,1.81705758015267e-08,1.99896718962683e-08,1.63057813403512e-08,1.70075755315738e-08,9.77071509268717e-09,1.72543517282673e-08,2.24232827800368e-08,-2.14471044212971e-08,1.55934882733942e-08,-8.95006968581687e-09,1.23071138905894e-08,-1.44029864201339e-08,2.05201722235587e-08,1.66073480222811e-08,1.48975681741096e-08,1.33535532177403e-08,-2.65368040065526e-09,1.20263202995835e-08,2.12852816251992e-08,-1.07805969642675e-08,2.78955098485248e-08,4.40671318048675e-08,3.12682568486458e-08,3.64139636836324e-08,-4.73219470434016e-09,2.2342317040595e-08,1.50637248449688e-08,2.75772245795791e-08,2.91357525117763e-08,-7.23027120336809e-08,3.18643071920932e-08,2.14214773711713e-08,4.46958640947735e-08,-2.50975412753484e-08,9.33666637095594e-09,1.4266207224413e-08,2.69787624121155e-08,4.49726824310991e-08,1.66409654242752e-08,1.79275440280575e-08,6.68193935392546e-09,6.09989328854203e-09,6.58785695514504e-09,2.05237739258292e-08,-6.60069338745187e-09,3.10935486842838e-08,1.00091423779968e-07,6.68148323205049e-10,2.09244385151112e-08
"Poa_pra",0.116347013545296,-0.0249161682929093,-0.120511278534639,-0.114813579601851,-0.0821822587520251,0.00290221825195425,-0.00813746771437306,0.0615585261888393,-0.0124733751966275,-0.00794823887659663,0.0531995356137788,-0.0278175469262933,-0.064234895285383,-0.0121911077674426,-0.0751929091449535,0.0281050121686614,-0.118304131220539,0.0825907945437696,-0.0130004295711036,-0.139265371871746,0.0260250543129283,0.147018741657181,0.089388528551336,0.00730102314062611,0.187861781168263,0.0283148005578285,0.406754708217199,0.0576326253812121,-0.153970250746746,-0.130861854696064,-0.266316827779034,-0.247666082167719,-0.203412888911981,-0.477580088934309,-0.362595805032197,0.15166572947709,-0.209283518410659,0.0677539109664888,-0.0155330181720703,0.0675403105290419,0.113288208308196,-0.0900363731184898,0.113062082083215,-0.260549253456697,0.035461031226069,0.1058866697782,0.0728002156676235,0.0872524332427218,-0.0169651227112511,-0.0504554455167153
"Alo_pra",-0.050044133061277,-0.0269180955563966,0.0355620168806417,0.107455323367446,0.0370879323491406,-0.0378295664988826,-0.0577474522399953,-0.0594025613334581,0.0226998458729495,-0.0583353216757343,-0.0498515886330844,-0.0777622552226943,-0.018677241313858,0.0288704578963107,-0.0365196444982625,-0.0135228793844821,-0.190525379440934,-0.23401471400211,-0.0104386090390392,-0.0607468949895914,0.220881264440433,-0.0664780734838927,-0.114736253968712,-0.0870322266400817,0.0262370242638071,0.065416189608786,-0.105349564521486,0.174845546745259,0.142114022143887,0.0811733078329351,-0.0665915571026543,0.121652744793839,0.10482539341308,0.453327059994957,0.330293341541274,0.140918889866366,-0.0127036843143373,0.230533407980768,-0.189259852807375,0.0758797871758488,-0.25770319912612,0.2454988287884,0.14977483785846,0.065333418832908,0.0288566931906389,-0.204582481626359,0.0392074708068641,-0.141858146421268,-0.0609951363705667,0.0416450755325258
"Dac_glo",-0.0622021239490785,0.0264600386208362,-0.0577422707351905,0.00852274505177764,-0.0181703001271341,-0.0244929893854245,-0.0181298819151297,-0.0120220941341801,-0.0194885667209621,0.023092114486154,-0.00399850045739248,-0.0485851729216194,0.118748672138713,0.0170121468142903,-0.104408827229672,-0.112091384503349,-0.060523861548043,-0.0891746814272894,-0.0708911102589309,-0.0128790791568599,0.263275275303532,0.0517914838868306,0.150032099077921,0.0227289723120852,-0.107487476079886,-0.0558204382818661,-0.12305580557955,-0.137594518221564,0.015501989721755,-0.0252887143406367,0.237959531516429,0.0797761110666122,0.158428913368284,0.0308030391174257,0.1733551379373,0.104220706318358,-0.0234945951422245,-0.0515308540429698,-0.0600867752346465,-0.0874483555487137,0.393774599563658,0.0384896857656639,0.0985955521491565,0.342084492520611,-0.0158866951989955,0.0473544181678002,-0.0532737908376112,-0.230947731194445,-0.0572478262093711,-0.0488151167541047
"Tri_rep",0.0519678153578232,0.0578160454893519,-0.0190411545788369,-0.0176985535176929,-0.0581811989155952,0.0318461972897195,0.0817181121609318,0.0291080475813332,0.135632627399091,0.00786581266632505,0.138032430426681,-0.00191003079018408,0.0208951726134376,-0.0228434363653549,0.0944702402563069,0.0408917922674782,0.0580704646393903,0.0657230567696569,0.0437144228765185,-0.0254323039499798,0.00662691170156141,0.118736713248623,0.0402895643718205,-0.136696146204568,-0.10087266328038,0.05123087972001,-0.202328731707769,0.153405103758671,-0.0316225126396651,0.0109815880372895,0.00254804871311354,-0.0370733488325758,0.386937158532687,-0.07168275942224,-0.272437051573586,-0.166906804096431,-0.253806377606481,0.129174991260671,0.0442423685100738,-0.0980712506604936,-0.0173618357439884,-0.137187928580016,0.186459204604987,-0.00381867834881055,0.15327299168594,0.0580070772266863,-0.0684417837347379,0.0314755727499027,0.0860518004790905,0.0640349393582231
"Tar_off",0.0397393121256033,-0.0193040792009338,0.0341839780018145,0.0657897131697306,0.0788322146496423,0.0345572412938702,-0.0749000332967301,-0.0329650608997658,-0.0355072594847874,0.102451827080795,-0.017429729274305,0.103299698123063,0.116236369095612,-0.0192315660987383,-0.00217515166094969,0.0183857496570391,-0.0308404231493566,-0.182524142863182,0.101199824176887,0.103291487893175,-0.0704755277281214,0.0490190868295948,0.137648012375079,0.149025153167339,0.162615547417667,0.0715650612234967,0.187533917869389,-0.0720933771124109,0.0626928868049035,-0.183921686583069,0.0922275481573716,-0.141855198115859,-0.612831978338769,-0.144775933234495,0.88355733705575,0.0405237514731142,-0.0299580035559759,0.0307035921416093,0.246521352096188,0.0213696659013043,-0.110259732218818,-0.116612090059001,-0.211978810929456,0.102045082055177,-0.127699848729123,0.035445460910244,-0.0405535480261323,0.0990716502464613,-0.153714689959392,0.135391216494136
"Lol_per",0.0631316612534313,8.30328422863698e-05,-0.0584703003155368,-0.0778955656215799,-0.0709728156531961,0.0306373838747002,-0.00838251493588651,-0.0281310876466399,0.0333920491313823,-0.0855238767496971,0.0377156810349375,-0.0272028488457647,0.0220379928345402,-0.0453776960319839,-0.0765144567001276,-0.071446548604284,0.120036654400337,-0.143166220776683,-0.0706346798539928,-0.0544769812973908,0.0517159019157625,-0.179763717142799,0.0191963481000743,-0.229092299331961,0.10810624494817,-0.231517467686541,0.152013030698787,0.0727634169735235,0.0553755761600876,0.0392797602163199,0.0305941284723466,-0.161809875631406,0.00613009366996435,-0.245456070860116,-0.11701863654394,-0.0336654748612118,0.152217861714329,0.0654782352419537,-0.103819548871972,-0.135017086971522,0.248260446728641,0.0998144767254909,-0.0914319332038504,-0.398851227478819,-0.0456430702713773,0.333828685789647,0.184373414160568,0.0177446362969839,-0.195757505300194,0.0791118434659533
"Arr_ela",0.0181950754798612,0.0839425996370416,-0.00225929536720468,-0.00207885436172118,0.0347614610127287,-0.0529001834447309,-0.0278278450639725,8.84457139140373e-05,-0.0306107441495766,-0.0152753752817012,-0.0505219956287459,0.0629889060126053,0.0381356242207636,-0.0444505025929191,0.169190276149529,-0.0332359300405851,-0.00801768060697504,0.00203177575252001,-0.140039470847184,0.0614630529303295,-0.166589383146049,0.0380080069917281,-0.158875051398167,0.0389333341311645,-0.0778977917101003,0.0252840228226407,-0.193076370926929,-0.0337787163466779,-0.100576734987881,-0.00402242714013102,-0.216666785897257,0.0313272667544951,-0.00494546807378961,-0.00429351599426185,0.190840544776096,-0.117091968779303,-0.0613116147260496,-0.0158917359413203,0.13293823720918,0.0483865346211395,-0.128210907803557,0.197306393009229,0.0849400428417814,0.299842888960935,0.0959732669343796,0.00743569229429817,-0.120182250585603,0.0249298899239237,-0.0386605538037807,-0.021865826514565
"Fes_rub",0.0272244128544781,-0.0150422102288002,-0.0312599550551673,0.0418797622939465,-0.0253091946217351,-0.0233084717857874,0.0299286824274066,-0.0812664616974861,0.00766847572766675,-0.018791664324917,0.0219186398392074,0.0817511479166872,0.178853213552049,-0.0712390473039824,-0.0353161111337034,0.0175937969001043,-0.226882057781151,-0.0514276105808632,-0.0540798239447683,0.0192565618575726,-0.015482933099694,-0.0121454060829607,0.0286255000804822,0.0683239677903503,0.0679836939319567,-0.0168783243184422,0.0658259740578475,-0.111391788488228,0.135560001476832,0.0869272946236006,0.0304468883803399,0.0887482686138307,0.00118959941853488,-0.00578298146803223,-0.327750386721628,0.0616087339801848,0.0354736729711388,-0.0691166695210845,0.196766822172721,-0.0041008682902941,-0.112519582643405,0.078162803384209,-0.354175497459107,0.159441065581433,-0.0922088182024187,-0.0595088729659218,0.50543117811769,0.0601676950218691,-0.0378634826493976,-0.0141664909276912
"Fes_pra",0.0332816091641688,0.0344288513061268,0.0277782411959921,0.0405778625804911,0.0723753391456319,0.0308248376092301,-0.0225560561207693,0.0234435895076911,0.0702862141027548,0.00623065616249085,-0.0584895189581089,0.00567507647497104,-0.0371056956008403,-0.0443775125311661,-0.0624353760096599,0.00774080583182325,-0.0764480001372647,-0.0895827196220831,0.0316603349225238,0.157968918568704,0.084370046842573,-0.0661862074782949,0.0612347495553064,-0.0219463953007419,-0.0479941507774569,-0.159021969507614,-0.0681061676148323,-0.0158560158895081,-0.106725078851395,0.395495808389578,-0.0869925072722878,0.121283034555993,-0.0392191573043856,0.0523318786315176,0.182898450820265,-0.213495498419071,0.120922778951066,0.294919018362837,0.320535728509656,0.0216082917577757,-0.10465277320982,-0.0165887745590009,0.0652043632257599,-0.00539841039694695,-0.104530422398375,0.151091517891119,-0.015758305647258,-0.52879951896134,-0.0270137670427595,0.0491998561328715
