"","Poa_tri","Poa_pra","Alo_pra","Dac_glo","Tri_rep","Tar_off","Lol_per","Arr_ela","Fes_rub","Fes_pra","Tri_fla","Ely_rep","Tri_pra","Bro_ere","Ran_rep","Bro_hor","Ran_acr","Pla_lan","Ach_mil","Gal_mol","Her_sph","Ant_syl","Hol_lan","Hel_pub","Ant_odo","Bra_pin","Car_hir","Rum_ace","Fes_ovi","Phl_pra","Des_ces","Agr_sto","Cyn_cri","Cir_ole","Cer_hol","Pla_med","Cre_bie","Urt_dio","Thy_pul","Lol_mul","Cir_arv","Lot_cor","Ran_bul","Tri_dub","Med_lup","Leo_his","Car_car","Vic_sep","Pru_sp","Rest"
"Poa_tri",-6.07264435928924e-08,-6.55403257820285e-08,-8.63991374110711e-08,-7.45561492330525e-08,-5.47915003164061e-08,-1.24973989284318e-08,-6.8724427616286e-08,-5.86605331611675e-08,5.7663786817347e-08,-4.45276983884735e-08,3.07614021289476e-08,-5.0035682431833e-08,3.31324999049698e-09,-9.02302679254832e-08,-4.78616550343686e-08,-6.36882180415339e-08,-6.65169153734189e-08,1.99809142096779e-09,-4.80223363670316e-08,-7.12931615664189e-08,-3.2806771593035e-09,-8.60594234351347e-08,-1.50500727458284e-07,-1.58061888941864e-07,-1.15267141811562e-07,-8.01961165897973e-08,-2.11802832812746e-05,-6.24802617927152e-08,-8.05508370565069e-08,-5.80245481998584e-08,3.59721073464701e-07,-1.88438791677631e-07,-4.56062000133466e-08,-4.69825185817801e-07,2.98578406804652e-08,-6.15792072213242e-08,-6.23246285613266e-08,-5.44747073894886e-07,-1.1624355046091e-07,-9.42625518437103e-08,-1.58903124659647e-07,-5.86363332183302e-08,-2.79676473754113e-08,-6.90016900713814e-08,-9.3876314156761e-08,-1.97967444090973e-07,-1.83853456285374e-07,-1.93431735112636e-07,-2.34457595614268e-08,-7.4792228721143e-08
"Poa_pra",-0.0129797344996757,0.0250172643870795,0.455133771516631,0.151619832195124,0.162212303487056,-0.0270820062248208,0.247769043119413,-0.125055898873875,0.043449060038756,0.185215230196791,0.00517353592010618,-0.271211756577913,-0.0516373471308527,0.0286228181357899,0.289653275753508,0.12381733350701,0.377957617437959,-0.180082076004898,0.164995924287108,0.311312508499888,0.242453603348788,-0.202027297369918,-0.25177714471145,-0.021472664358635,-0.223652166307546,0.162976884310069,0.518459061384707,-0.490512778134279,0.182774867759263,0.230198826695083,0.0537637180589353,-0.230767969837089,-0.0614576920002319,1.33395977105293,1.19344248025893,-0.278809981679688,0.456344794043804,-0.154420745018745,0.267583214594048,-0.363721569297009,-0.061423803436247,0.0408422320215231,-0.202507766327324,0.204732270169222,-0.385113079314247,-0.338558120227498,0.274313910993991,0.108945081036963,-0.294989273539206,0.0442748939889265
"Alo_pra",-0.0233892123570792,0.0890802884291927,-0.0257810934250451,-0.190377669124815,-0.000194881918093261,0.0523604876970414,-0.00383429057780694,0.161654796294519,-0.105870354967478,0.0634622619436833,-0.0866773253645906,0.879452488660129,0.0329846747738152,-0.236385466548671,-0.221874945194747,-0.232189509694562,0.342040551515248,0.547829386891713,-0.0586821878117358,-0.146163531951935,-0.612802337851336,0.113570701791716,-0.0571571961503812,0.0389489095819721,-0.0826683872555116,-0.122393868161119,-3.09377209188786,-0.207257926659488,-0.678562139189944,-0.13420951124651,-0.159921596285472,0.604432230211665,-0.185811676099558,-3.52707182114838,-0.920432304795972,-0.197475217501784,-0.101089951400378,0.71750415691072,0.268952399078827,0.269091007091551,1.10883325129349,-0.0536971884362489,-0.0493063734705331,0.282628327254448,0.102495318683343,0.168367526518413,-0.531672339204048,-0.115270283282094,-0.293351906643925,-0.38343945448744
"Dac_glo",0.213878228521259,-0.00827020312780972,0.17599299504298,0.121997883620501,0.166445584330905,0.142755362947731,-0.00308163193878944,0.15520013931671,-0.0616837108204307,-0.101797700059801,-0.0971929133970277,0.293383223046261,-0.220309816525965,0.0347231427508244,0.274264502752502,0.402080121915459,0.287359791259711,0.0960485827051427,0.0403175956159153,-0.20298156030352,-0.597991745047995,0.0192221657935966,0.245660541161492,-0.15855648126671,0.18097865193234,0.0982351795065436,2.89999553443372,0.258283556545852,0.207015447892207,-0.0398287445661091,-0.458546175391164,-0.469488123365392,-0.484573519514424,0.030497242024931,0.120910641749343,-0.0309443096039655,0.49091999756966,0.697425036571984,-0.174182127863323,0.44956311372586,0.966727075889367,0.0687988965110075,-0.138100110615681,0.270955462648812,0.198398017365014,-0.135901403095935,-0.332831193014404,0.530825715282808,0.0911892359768305,-0.019944851290829
"Tri_rep",0.0207931138387861,0.0923709223817474,0.0282144070499308,0.103747406719683,0.187224007056991,-0.0602359003136136,-0.181324932317965,0.0863264566171392,-0.256911997805221,0.0721562443211921,-0.0708653861986263,0.343960205494443,-0.217939193390521,0.00267093856523373,-0.157259065683579,-0.273636087147152,-0.0266522367774055,-0.225194390722301,-0.0366249214409026,-0.0342377067998139,-0.152103172041009,0.0326191867927723,0.0108571971644686,0.254563103585152,-0.0712696210381337,-0.180707680243932,8.70605353146725,-0.188439827263098,-0.138958197683262,-0.150746499021563,-0.332199143941562,-0.032297935315887,-0.791757232091355,0.724708303958798,0.550900718144086,0.0377337157134057,1.21249755203018,-1.12578865655772,0.190737640528144,0.127093931390026,0.414544718317673,0.320556697348644,-0.173681456269485,0.0454713408067897,-0.640743776086336,-0.261438277188835,-0.282395387177386,-0.00159423950906252,0.0611406476539585,-0.176214603170641
"Tar_off",-0.00309225655015422,-0.0944922391701022,-0.0252107138436906,-0.328619346586597,0.359176867756838,-0.276781089546627,0.23064625336692,0.15434141095229,0.0248496944416746,-0.0653541933731587,-0.0486576977026334,-0.203254557142918,-0.292914530579734,0.0386802089922653,-0.200408857985233,-0.040006080711371,0.00821450541492358,0.256607354064139,-0.183397524457881,-0.204570384248337,0.29850464529651,-0.320754919572484,-0.62314383936098,-0.111183718185079,-0.625412476000307,-0.398171323626143,-9.32048489262578,-0.0312555876666417,-0.381522826430055,0.425725750712702,0.279415045832279,0.335652929043024,1.32130084220423,-1.24882491761846,-1.2016613707786,-0.0431566141502288,-0.207680814579756,1.98981949199547,-0.219302841141188,0.870991786523936,-0.286986864061954,-0.11689410193225,0.58883495624127,-0.171090197939088,0.576124024335017,-0.0233662081487918,0.250546540006823,-0.178419503217142,0.107478463907769,-0.340419448100174
"Lol_per",-0.142539413112797,0.0365805264570627,0.0936074945147351,0.059609246006765,0.132444199452005,0.25124542968764,0.0412731339405102,0.134934435259898,0.0214543952672258,0.0745903897416918,-0.100936773574526,0.827275384291261,-0.0384455277196684,0.0455225166865935,0.148150241189096,0.439137493162012,-0.146547205027155,0.082983677930811,0.209786688655059,-0.051148220811407,-0.139409443146149,0.395791192023195,0.0951091777266135,0.397010921055051,-0.234276354368261,0.0825955115918285,3.487045902159,-0.228443964792723,-0.322138092635602,0.076149287529068,-0.517258615802759,-0.022604929278293,0.0294048412789846,-1.24008456464671,0.48922024046614,0.0608295162507641,-0.0632955042023465,-0.509168682218664,0.0107950036001358,0.179268539728427,-0.775189287384127,0.120321306911677,0.212877611350949,0.62351230010693,0.252468993502775,-0.134953584648844,-0.520544577582014,0.0795897108321869,-0.19103955133241,-0.256672712190547
"Arr_ela",-0.06527576576358,-0.0299055302617503,0.0444328728965599,-0.187234978265408,-0.204304254481241,0.12465640636981,0.246409962662049,-0.122650163947626,0.0869990504923618,0.140943433298925,0.0174074294886364,0.0715479230695376,-0.20599470871895,0.00443304096834633,-0.228314013628548,0.126668328060859,0.200510987523697,-0.0705136918516473,0.183726235003669,-0.0557768629784627,0.47204519718624,-0.00315424087281816,0.492661285926381,-0.104615792374212,0.0555998444718928,0.0640843368392213,-4.5499292635708,0.237793786478522,0.171795987517863,-0.153601188914042,-0.0590284657746783,0.346240022143031,0.212857435994296,-1.1227618813093,0.328782834600607,0.227496730357134,0.622083969994745,1.5189429544271,0.0629714860264143,0.182949377387681,0.710394350306833,-0.154235815578661,-0.518505429940982,-0.101339662263723,-0.223752596939581,-4.47980963531476e-05,-0.037650831738712,-0.442924799258311,-0.323439309436387,-0.0464341209133056
"Fes_rub",-0.174336389503663,0.006085317712743,-0.0175407219876456,-0.0762983543923223,-0.0337938083822286,-0.0715547981067134,-0.249235229961566,-0.240743652630663,-0.148004456017297,0.0646004178743373,-0.0758681472741399,-0.476840433996578,-0.420717619606995,-0.139918358931744,0.131901081500052,-0.0682967547617796,0.410654164716867,0.150993551007242,-0.065718119450077,0.0145970716468453,-0.281888381810403,-0.114587370961638,-0.0798858276061043,-0.526053365655193,-0.429661793568989,-0.139150784011271,-3.39957596178919,0.311712919726134,-0.0113885111003,-0.290407513682365,0.749545338580936,-0.185213234756808,0.170924013751078,0.273714153435986,0.10070241846217,-0.499884949088548,-0.00907389889215083,-2.06619561252267,-0.773940172526471,-0.212165879920805,-0.241242442090432,-0.0104917413843936,0.364346739436634,-0.484912764931042,0.316354585932193,0.0845693237115836,-0.218466177199972,-0.469666810725932,-0.246836790120203,-0.107866150134515
"Fes_pra",-0.112791986109369,-0.0792621420774263,-0.00401665436201341,-0.088941472609127,-0.153682102906966,-0.212385113958834,0.0903156835129151,0.010657711402981,0.180250396862381,0.0736842419447898,0.0397726629497274,0.133011098555351,0.202061306292428,-0.213969214395135,0.00502638656140086,-0.0806322554673505,0.284368485854089,0.276475182367245,-0.163791170195297,-0.569792127437528,-0.392407674930912,0.108927211185728,-0.383729064694801,0.212858520896058,0.461970989085232,0.187149992571112,6.7624644629543,0.00165732080401616,0.26523205619858,-0.488470828722639,0.458942304331978,-0.677533906648255,0.108898098009292,-0.591936133946017,-0.497089531035982,0.255558489878356,-1.18888656350461,0.489465169326788,-0.407480981433037,-0.342689240956896,-0.632244416180516,0.243752911496223,0.134054996771061,-0.258529672226776,-0.0904516306380511,-0.832658506394389,-0.0121861614155282,1.59251487978884,-0.420298202868736,0.0720496664038528
