"","Intrinsic","Site","LUI"
"Poa_tri",2012.33304329467,2.94861638980828e-05,2.52649359004951e-06
"Poa_pra",9.16913926770073,-1.47228660203344,-3.92368853308408
"Alo_pra",-27.7019067680214,5.95309826116706,2.52701655128311
"Dac_glo",20.7011976975418,-11.2881128082973,2.41612254985617
"Tri_rep",24.6060563762321,-8.78102365786857,1.98277552602288
"Tar_off",-37.7296295240826,11.7430991197257,2.74718318634834
"Lol_per",9.55758901364049,-2.81076616873608,-3.32383105356021
"Arr_ela",-10.5874231571824,1.52144862433586,-0.581819710589989
"Fes_rub",-38.0660384325332,14.0564034106664,0.782244806396786
"Fes_pra",10.9038849862363,-1.4723160031056,1.33734544308464
"Tri_fla",45.2497475607787,-9.46399814897758,-5.92110879819935
"Ely_rep",14.6612176136667,-6.59999739036452,2.23429182070911
"Tri_pra",2.57000136116441,0.616818596882855,-3.51054187584114
"Bro_ere",-23.9909008007607,8.28205978191596,1.69975040996301
"Ran_rep",-12.5577498179663,3.86684795439752,0.640631327802852
"Bro_hor",12.1074838021496,-4.52348892007721,0.533774257617037
"Ran_acr",20.3704037444512,-7.89891035214709,-2.32543771619566
"Pla_lan",6.1426754448849,-3.6128340740874,1.77369307129312
"Ach_mil",-2.68949190651369,1.79905656239896,-0.38559946244215
"Gal_mol",-2.50897786789236,0.416286009051823,-1.67020479341722
"Her_sph",-3.71109726280711,1.711691269712,-1.77982789947754
"Ant_syl",-11.4344610174802,1.95909783890092,2.24025027220166
"Hol_lan",0.530120201712115,-2.57913463432768,2.39337896079217
"Hel_pub",-1.29872170359613,0.418524459515172,0.507361118564781
"Ant_odo",-16.9686943875281,5.82361170813567,-0.973576413482774
"Bra_pin",1.47519815358166,0.511476922142471,-2.03665165519241
"Car_hir",-3.25219311918018,1.34343869206588,-0.128779317207916
"Rum_ace",6.13264922014723,-2.73619671553615,-1.91132969624459
"Fes_ovi",2.89172673725636,-1.39744354032314,-1.52908801051219
"Phl_pra",1.95475629922579,-1.42216824207926,-0.188066860745105
"Des_ces",-11.1180056055001,1.83526517592985,0.64713713191997
"Agr_sto",-21.5805787742507,4.64580283424572,1.22848320680069
"Cyn_cri",-1.3201812371292,1.59176464020163,-2.3237049081891
"Cir_ole",12.142742536107,-5.82408599704661,-0.868976182061398
"Cer_hol",-0.943461709833265,-0.328380000474693,0.558416191269679
"Pla_med",-2.03194204329045,-1.55593188829615,-0.19689870603007
"Cre_bie",-8.6473223100252,4.16426237601927,-1.74903836585928
"Urt_dio",-3.98975499481151,-0.691087375378565,2.33646150642451
"Thy_pul",1.85581432076599,-0.37184583869073,-1.49442136826633
"Lol_mul",-4.16968504001171,0.0852179701292206,1.475365553715
"Cir_arv",-10.9904316095071,2.56840881788201,2.76649175199736
"Lot_cor",-0.181132344567437,-0.772349436375848,-1.15726109814331
"Ran_bul",-2.35913358052648,1.34386321524276,0.743456394345045
"Tri_dub",-14.7748460637592,3.8096958400079,0.40232608555937
"Med_lup",0.00961755552923539,-1.78126930934237,0.147725660553047
"Leo_his",-12.6965357911356,4.42883638361061,0.391684499588968
"Car_car",-8.62309575919321,4.53366330139203,-1.32213611471089
"Vic_sep",-9.87594113472956,2.57055181422888,1.07680512439862
"Pru_sp",-1.46725640763957,-0.267396591796913,0.588008826107812
"Rest",-1.49440591699281,-1.60436457359203,0.767146687950299
